ID,Name,Age,Gender,Income,Department,JoinDate,Rating,Remarks
44,Bob,23.0,Other,67418.87,Marketing,2011-08-28,2.4,Poor
45,Bob,35.0,Female,44031.28,HR,2020-07-13,3.9,
46,Alice,21.0,Female,65841.96,IT,2020-12-30,1.3,Good
47,Bob,28.0,Male,67154.76,HR,2010-10-23,3.0,Good
48,Eva,42.0,Other,58193.61,Sales,2019-12-08,3.1,Good
49,Bob,23.0,Male,40783.53,Marketing,2019-01-02,1.9,Average
50,David,47.0,Other,64163.52,IT,2017-07-11,1.2,Excellent
51,David,29.0,Female,53203.34,Sales,2011-01-23,1.9,Excellent
52,David,37.0,Other,50670.02,IT,2018-09-14,1.9,Poor
53,David,33.0,Other,36325.9,IT,2014-12-31,3.8,Good
54,Eva,33.0,Male,42488.26,HR,2014-02-05,1.9,Excellent
55,Charlie,18.0,Female,36544.17,Sales,2018-06-07,2.4,
56,Alice,26.0,Female,64386.95,HR,2014-04-17,1.2,Good
57,David,,Female,73015.54,Sales,2015-04-22,3.5,
58,Bob,27.0,Male,63855.28,Marketing,2018-11-14,2.9,Excellent
59,David,31.0,Male,52983.84,Sales,2013-09-16,2.4,Average
60,Bob,,Male,45397.43,Marketing,2015-05-30,3.8,
61,Bob,25.0,Other,57146.24,Marketing,2010-02-06,3.7,
62,David,38.0,Other,43743.86,HR,2019-01-16,2.3,Good
63,Eva,19.0,Male,49529.57,Marketing,2010-07-02,3.8,Poor
64,Bob,35.0,Male,37677.98,HR,2016-05-28,2.4,Average
65,Bob,31.0,Female,59759.61,IT,2020-06-26,1.9,Good
66,David,28.0,Other,60513.62,IT,2014-03-26,3.9,Good
67,Bob,,Other,63632.83,IT,2010-03-11,3.9,Excellent
68,Bob,26.0,Female,58366.78,Sales,2010-08-25,4.5,Poor
69,David,26.0,Female,57319.55,Marketing,2011-04-09,3.0,Poor
70,David,37.0,Female,34342.67,HR,2013-02-15,1.9,Average
71,Alice,26.0,Male,33714.85,IT,2020-05-28,4.3,Average
72,Eva,44.0,Male,54965.84,HR,2010-07-10,1.7,Poor
73,Eva,32.0,Male,66513.47,IT,2012-07-18,4.8,
74,Bob,25.0,Male,45991.53,Marketing,2015-03-02,2.2,
75,Eva,37.0,Male,50084.13,IT,2019-10-18,1.1,Good
76,Bob,34.0,Other,50239.94,HR,2019-10-16,1.7,Poor
77,Alice,16.0,Other,22350.67,IT,2020-06-19,2.7,Good
78,David,21.0,Other,53606.37,HR,2020-09-16,1.2,
79,David,29.0,Female,41752.22,IT,2016-09-14,2.6,Average
80,David,17.0,Other,59166.21,HR,2015-03-30,1.8,Poor
81,Eva,46.0,Female,49529.94,IT,2010-11-13,1.1,Excellent
82,Alice,36.0,Other,47311.06,Marketing,2011-12-19,2.2,Good
83,Eva,29.0,,47637.81,IT,2016-03-19,1.9,Poor
84,Eva,27.0,Other,45094.71,Sales,2011-10-20,2.7,Excellent
85,Alice,25.0,Male,29576.77,HR,2013-04-27,4.0,Good
86,Alice,14.0,Male,64300.23,IT,2020-06-18,3.0,
87,Alice,16.0,Other,40491.44,Sales,2016-05-28,4.1,Good
88,Alice,45.0,Other,42983.72,HR,2018-03-16,2.3,Average
89,David,42.0,Male,51185.98,IT,2016-03-20,1.1,Good
90,Charlie,25.0,Female,33266.71,IT,2012-01-28,4.7,Good
91,Charlie,37.0,Female,42513.8,Marketing,2017-09-07,2.3,Poor
92,Alice,34.0,,78747.4,IT,2013-12-11,3.1,Poor
93,Charlie,34.0,,55051.02,HR,2019-07-11,2.9,
94,Charlie,18.0,Female,37132.96,Sales,2015-06-07,3.3,Average
95,Alice,15.0,Other,18779.9,IT,2015-09-17,4.5,
96,Charlie,39.0,Other,65020.91,Sales,2014-01-16,4.5,
97,Eva,14.0,Male,34818.75,HR,2013-05-15,4.9,Excellent
98,Bob,28.0,Female,41856.95,HR,2018-02-21,3.1,Good
99,Bob,,Other,43756.49,IT,2016-09-13,4.7,Poor
100,Alice,26.0,,36303.06,Marketing,2015-05-28,2.9,
101,David,32.0,Other,48856.46,IT,2018-12-03,1.2,
102,Alice,24.0,Other,41728.83,Marketing,2013-10-15,1.6,Poor
103,David,33.0,Female,59167.01,IT,2015-07-06,2.3,Poor
104,Bob,31.0,Female,52108.28,Sales,2020-01-24,3.9,Excellent
105,Alice,46.0,Male,71481.93,Marketing,2012-10-26,1.3,Average
106,Eva,18.0,Male,71785.28,Marketing,2018-10-10,2.4,Poor
107,Charlie,30.0,Male,35677.75,Sales,2012-09-24,4.9,
108,David,33.0,Male,45094.77,IT,2014-02-05,4.1,Good
109,Charlie,27.0,Female,82314.59,HR,2014-06-16,3.3,Excellent
110,Charlie,19.0,Male,32623.11,HR,2017-01-04,1.2,Good
111,Alice,40.0,Female,61964.38,IT,2017-09-30,1.1,Good
112,Charlie,32.0,,58219.97,Sales,2010-03-24,1.4,Average
113,Eva,19.0,Female,37265.75,HR,2020-08-06,2.3,
114,Charlie,33.0,Male,37989.52,Sales,2020-04-20,3.4,
115,Alice,43.0,Female,77674.16,IT,2013-11-01,1.8,
116,Eva,29.0,Female,77374.29,Sales,2016-07-10,1.2,Poor
117,Bob,29.0,Female,56448.73,Sales,2011-10-21,1.4,Average
118,Charlie,42.0,Female,29206.94,Sales,2015-11-20,2.7,Poor
119,Alice,22.0,Female,68852.87,HR,2013-08-04,4.1,Good
120,Bob,43.0,Male,29143.47,Sales,2017-11-12,4.3,
121,Bob,37.0,Female,60727.99,Marketing,2012-11-20,2.2,
122,David,22.0,,25711.07,Sales,2013-08-30,3.7,
123,Eva,24.0,Other,50114.28,Sales,2018-05-03,2.6,Poor
124,Charlie,25.0,Female,63274.71,IT,2016-01-11,4.9,Excellent
125,Alice,15.0,Other,7619.62,Sales,2017-02-20,2.6,Average
126,David,32.0,Male,42074.31,Sales,2015-03-30,2.6,Poor
127,Eva,22.0,Female,52299.68,HR,2014-04-26,3.0,Good
128,David,32.0,,44837.29,Marketing,2018-10-30,1.1,
129,Eva,19.0,Male,39933.88,IT,2012-07-31,2.7,
130,Eva,37.0,Other,47997.87,Marketing,2011-11-25,4.3,Average
131,Charlie,35.0,Female,65562.86,Sales,2010-08-20,3.4,Average
132,Eva,24.0,,70534.32,HR,2013-02-18,4.9,Excellent
133,David,32.0,Female,60575.32,Marketing,2018-12-01,2.3,Poor
134,Eva,30.0,Male,73300.42,Marketing,2019-08-29,1.6,Excellent
135,Charlie,41.0,Other,41978.29,Marketing,2015-01-27,4.0,Poor
136,Charlie,21.0,Male,,Marketing,2011-01-23,1.2,Poor
137,David,28.0,Other,34717.3,Marketing,2015-05-05,1.6,Average
138,Bob,24.0,Male,93966.87,HR,2017-05-03,3.0,Average
139,Bob,30.0,Female,51502.21,Sales,2012-05-13,4.0,Poor
140,Eva,34.0,Other,62061.6,HR,2013-06-03,3.4,Average
141,Alice,24.0,Other,23563.03,HR,2014-07-06,5.0,Poor
142,Eva,27.0,Other,61720.02,HR,2013-05-03,3.6,Average
143,David,37.0,Male,51705.49,HR,2012-03-19,3.9,Good
144,David,40.0,Female,56961.57,Sales,2012-11-15,5.0,Poor
145,David,33.0,Other,50203.58,Sales,2015-06-11,3.4,
146,David,28.0,Male,48203.04,HR,2018-12-10,3.9,Good
147,David,28.0,Other,45377.77,Marketing,2018-06-18,2.2,Excellent
148,Charlie,34.0,Female,48655.14,Sales,2017-12-12,3.1,Average
149,Bob,31.0,Other,72024.13,Sales,2011-06-21,4.6,Excellent
150,David,16.0,Female,44489.25,HR,2017-02-19,4.4,
151,Alice,34.0,Male,83881.76,Marketing,2011-12-12,2.2,Average
152,Alice,23.0,Male,50920.65,Marketing,2013-07-11,2.4,Excellent
153,Alice,18.0,Female,70999.51,HR,2014-03-19,4.4,Good
154,Alice,16.0,Female,67158.89,HR,2014-02-03,2.1,Excellent
155,Charlie,28.0,Male,,Sales,2016-04-05,4.6,Average
156,Alice,21.0,Female,29721.98,Sales,2016-05-25,4.1,Good
157,David,,Female,39826.54,IT,2011-01-03,1.6,
158,Eva,27.0,Other,26844.74,IT,2011-02-16,3.9,Excellent
159,Alice,26.0,,43804.07,HR,2018-06-21,4.3,Poor
160,Charlie,28.0,Male,50421.77,IT,2020-10-13,1.6,Average
161,Charlie,24.0,Female,59729.14,Marketing,2010-12-20,2.8,Poor
162,Alice,44.0,Female,52708.65,Marketing,2014-04-15,4.5,Poor
163,Eva,34.0,Female,50078.6,Marketing,2014-05-02,1.8,
164,Alice,26.0,Male,65356.12,Sales,2016-10-03,2.8,Poor
165,Charlie,29.0,Other,63348.25,IT,2013-08-31,3.5,
166,Bob,41.0,Male,,IT,2012-02-21,1.4,
167,David,37.0,Other,52799.36,HR,2010-11-25,1.8,
168,Charlie,18.0,Female,13835.33,Sales,2014-02-02,2.9,Poor
169,Alice,22.0,Male,56407.98,Sales,2017-12-30,2.5,Average
170,David,23.0,,84035.47,Sales,2017-09-30,2.3,Poor
171,Alice,26.0,Male,65389.79,Marketing,2014-01-26,1.1,Average
172,Alice,25.0,Other,68829.5,Sales,2019-08-13,4.7,
173,Bob,30.0,Other,51422.45,IT,2020-03-24,4.5,Good
174,David,35.0,Male,63697.05,HR,2012-01-08,2.6,Average
175,David,37.0,Female,69618.93,IT,2013-06-25,1.7,
176,Bob,27.0,Male,44986.25,Sales,2020-08-24,1.3,Excellent
177,Charlie,16.0,Female,42488.26,HR,2013-04-09,1.5,Poor
178,Alice,21.0,Other,56820.55,Marketing,2017-08-28,3.4,Average
179,Eva,25.0,Other,64538.92,HR,2012-01-18,3.9,Good
180,Alice,20.0,Male,8669.46,Sales,2014-11-30,1.6,Poor
181,Alice,39.0,,47078.31,Sales,2013-07-26,1.5,
182,Charlie,,Female,20698.19,HR,2016-01-05,3.8,
183,Alice,34.0,Female,48161.34,Sales,2017-04-22,3.1,
184,Bob,16.0,Male,75344.22,Sales,2010-05-23,2.5,Average
185,Bob,35.0,Female,40639.72,Sales,2020-08-18,3.9,Excellent
186,David,28.0,Female,45708.74,Sales,2012-09-02,2.8,Excellent
187,Eva,42.0,,,HR,2010-03-12,2.9,
188,Alice,,Male,64906.78,HR,2015-05-07,1.1,Poor
189,Alice,25.0,Other,64342.5,IT,2016-06-16,2.3,Good
190,Charlie,27.0,Other,50559.77,Marketing,2011-09-30,1.0,Poor
191,Bob,28.0,Male,58557.0,Marketing,2011-04-12,4.7,Average
192,Eva,27.0,Other,57898.75,IT,2017-03-26,2.2,Excellent
193,David,27.0,Female,39443.81,HR,2010-02-10,1.7,Good
194,Bob,27.0,Male,23734.32,IT,2020-11-29,1.4,
195,David,13.0,Other,36544.64,Sales,2018-01-25,1.2,
196,Charlie,,Male,71580.96,Sales,2012-02-10,4.5,Average
197,Charlie,52.0,Other,83198.2,Marketing,2016-07-31,1.7,Average
198,Alice,32.0,Male,48634.72,HR,2013-03-13,3.5,Average
199,Eva,20.0,Female,71002.7,Marketing,2014-09-03,3.6,Average
200,David,21.0,Other,45539.03,IT,2010-10-06,2.3,
201,Bob,34.0,Male,55235.5,Marketing,2019-09-13,4.3,
202,Charlie,33.0,Female,40786.93,Marketing,2017-05-26,1.9,
203,Alice,27.0,Other,65218.23,Sales,2018-04-05,1.3,
204,Alice,36.0,Other,40420.76,Marketing,2020-02-28,1.3,Average
205,David,13.0,Male,36610.8,IT,2010-02-27,2.2,Good
206,Charlie,36.0,Female,50701.26,HR,2010-06-17,2.9,Average
207,Eva,31.0,Male,62251.5,Marketing,2014-07-12,3.5,Average
208,Charlie,22.0,Other,52454.8,HR,2018-11-12,3.9,Good
209,David,18.0,Male,42964.6,IT,2016-08-17,1.7,Excellent
210,David,30.0,Male,36504.83,Marketing,2010-03-23,3.7,Poor
211,Charlie,41.0,Female,24696.62,HR,2015-03-09,1.7,Average
212,David,28.0,Female,43156.2,Sales,2010-05-14,5.0,Good
213,Charlie,23.0,Other,47706.29,Sales,2016-08-08,4.8,Good
214,Bob,31.0,Female,58309.41,IT,2014-02-17,1.4,
215,Charlie,44.0,Male,32493.39,Marketing,2012-12-05,3.6,Average
216,Charlie,33.0,Other,60022.81,IT,2010-09-19,4.6,Good
217,David,34.0,Female,41087.62,HR,2016-11-21,1.3,Excellent
218,David,39.0,Male,42293.44,HR,2020-02-24,1.5,Excellent
219,Alice,,Male,68730.8,IT,2019-01-07,2.4,Poor
220,Alice,23.0,Other,12839.77,HR,2015-11-10,1.4,
221,Bob,16.0,Other,31597.57,IT,2015-04-24,4.5,
222,Alice,22.0,Female,50684.68,IT,2010-01-19,4.5,
223,Charlie,21.0,Female,49925.44,Sales,2016-05-06,4.8,Average
224,David,35.0,Female,24470.23,HR,2011-07-31,1.8,Excellent
225,Alice,36.0,Female,42586.89,IT,2020-05-30,1.2,Average
226,Alice,31.0,Other,64370.23,Sales,2015-07-29,2.8,Good
227,Bob,,Male,,IT,2017-12-21,4.5,Poor
228,Bob,44.0,Male,66211.28,HR,2011-10-31,3.6,Poor
229,Charlie,26.0,Female,39257.6,Sales,2016-09-28,5.0,Average
230,David,34.0,Other,21906.14,HR,2014-08-16,4.6,Poor
231,Bob,30.0,Female,62286.28,Marketing,2013-06-24,2.6,Average
232,Alice,31.0,Female,53760.38,Marketing,2014-10-01,1.2,
233,David,34.0,Other,28010.95,Marketing,2020-06-11,1.0,Good
234,David,24.0,Male,41858.32,Marketing,2013-08-18,3.6,
235,Alice,40.0,,75874.45,Sales,2015-08-26,4.7,Poor
236,Bob,,Female,59875.29,HR,2011-09-12,2.8,Good
237,Alice,21.0,Other,66730.79,IT,2016-12-25,4.5,Excellent
238,David,40.0,Male,32925.23,IT,2019-06-29,3.3,Average
239,Eva,34.0,Male,68379.18,IT,2020-07-24,1.4,Good
240,Eva,50.0,Other,28640.7,HR,2015-03-15,4.2,Average
241,Charlie,30.0,Other,29115.21,Sales,2017-07-06,3.0,Good
242,Alice,43.0,Male,62526.79,HR,2012-09-28,1.2,Poor
243,Alice,15.0,Female,30033.79,Marketing,2016-02-10,4.3,
244,Charlie,18.0,Female,72763.41,IT,2011-03-17,4.0,Poor
245,Charlie,37.0,Male,31213.85,HR,2011-08-04,2.8,Excellent
246,Charlie,16.0,Female,,Marketing,2019-02-04,1.1,
247,David,28.0,Female,67297.57,Marketing,2011-01-11,2.4,Good
248,Alice,39.0,Other,40688.72,Sales,2015-06-09,2.7,Excellent
249,David,34.0,Other,61927.32,IT,2014-01-21,1.7,Good
250,Charlie,30.0,Other,33299.2,HR,2020-05-29,1.6,
251,Alice,26.0,Female,45850.99,Marketing,2018-08-26,1.7,Average
252,David,31.0,Other,61112.97,Marketing,2016-07-21,2.5,
253,David,,Other,37314.14,IT,2014-12-13,4.3,
254,Charlie,24.0,Male,65340.9,HR,2011-12-30,4.0,
255,Alice,32.0,Other,44595.72,HR,2015-03-09,1.0,Good
256,Charlie,38.0,Male,51801.37,IT,2016-09-03,1.0,Average
257,Alice,28.0,Female,34960.06,Marketing,2010-06-29,1.3,Good
258,Eva,30.0,Other,38444.57,Sales,2017-05-08,2.9,Excellent
259,Bob,33.0,Male,37337.86,IT,2016-08-20,4.6,Good
260,Bob,34.0,Male,40865.4,Marketing,2016-02-09,1.7,
261,Bob,37.0,Male,73193.05,Sales,2017-12-01,2.9,Poor
262,Charlie,21.0,Female,66811.85,IT,2016-07-04,1.2,Poor
263,Eva,25.0,Other,56776.99,IT,2015-05-23,1.1,Good
264,Alice,26.0,Female,40120.73,Marketing,2016-12-12,1.0,
265,David,22.0,Male,37368.82,IT,2016-02-26,3.9,
266,Alice,15.0,Female,35455.79,HR,2017-07-06,1.1,Poor
267,David,3.0,Female,45442.49,HR,2016-12-01,2.1,Average
268,Alice,39.0,Male,54201.94,Sales,2017-10-27,3.6,Average
269,Eva,17.0,Other,59214.07,IT,2014-10-26,3.5,
270,David,42.0,Other,50216.12,HR,2014-01-18,1.2,Excellent
271,Charlie,35.0,Female,58481.72,Marketing,2012-09-18,2.0,Excellent
272,Alice,26.0,Other,64039.27,Marketing,2018-05-23,3.6,
273,Alice,34.0,Male,44423.66,Marketing,2015-03-13,2.6,Excellent
274,David,33.0,Other,66475.7,HR,2014-01-03,2.9,Excellent
275,Charlie,21.0,Female,35244.0,IT,2015-03-28,1.8,Poor
276,Charlie,29.0,Male,58795.73,IT,2020-01-21,1.2,
277,Eva,22.0,Male,50479.46,IT,2020-06-05,2.4,Good
278,Charlie,35.0,Male,52629.5,Sales,2016-12-21,3.7,Poor
279,Charlie,24.0,Female,44482.98,IT,2015-06-06,4.1,Poor
280,Charlie,29.0,Female,68709.82,HR,2017-05-01,3.4,
281,Bob,28.0,Other,40936.46,HR,2013-03-25,2.6,Average
282,Eva,30.0,Female,,IT,2014-01-22,3.3,Poor
283,Alice,43.0,Male,70910.48,Marketing,2014-08-22,3.8,Poor
284,David,28.0,Female,56766.68,Sales,2016-02-09,4.0,Good
285,Alice,39.0,Female,45307.45,Sales,2011-03-12,1.4,Excellent
286,Eva,33.0,Other,37433.4,HR,2014-10-04,4.2,Poor
287,David,41.0,Male,20084.42,Sales,2014-05-21,1.3,Excellent
288,Eva,27.0,Other,58098.17,Marketing,2010-02-15,4.5,
289,Charlie,35.0,Other,33327.57,IT,2018-01-02,2.6,Poor
290,David,29.0,Other,35427.75,Sales,2014-12-01,3.2,Good
291,Charlie,,Male,58265.12,Sales,2015-04-26,2.2,Good
292,Alice,21.0,Other,43551.72,HR,2015-05-19,2.7,
293,Alice,34.0,Male,53263.99,Marketing,2010-09-01,4.4,Excellent
294,David,34.0,Other,56908.74,HR,2010-06-05,2.2,Average
295,David,19.0,Other,74070.5,HR,2019-06-28,3.3,
296,Eva,31.0,Male,52978.61,Sales,2012-08-19,3.6,Average
297,Eva,34.0,Female,41755.78,HR,2016-04-15,1.6,Good
298,Charlie,29.0,Other,48873.83,HR,2012-08-02,4.1,Good
299,David,35.0,Female,41331.97,Sales,2020-01-27,5.0,Poor
300,Alice,34.0,Other,78196.32,Sales,2013-07-02,1.6,Good
301,Eva,29.0,Female,55583.5,Sales,2013-10-17,4.1,Excellent
302,Eva,25.0,Female,58770.02,IT,2020-09-24,1.6,
303,Alice,38.0,Female,70287.53,Marketing,2014-10-03,4.8,Poor
304,Eva,33.0,Female,37285.25,IT,2017-11-06,2.6,
305,Charlie,18.0,Female,28602.67,Sales,2015-05-17,4.9,Poor
306,David,31.0,Male,,Marketing,2017-05-17,1.3,
307,Alice,20.0,Female,28644.82,HR,2016-08-21,4.2,Poor
308,David,22.0,Male,,Marketing,2010-06-02,2.9,Good
309,Eva,,Other,17316.31,Sales,2020-07-05,2.2,Average
310,Eva,30.0,Male,29724.77,IT,2017-09-20,4.0,Excellent
311,Alice,32.0,Female,68343.95,Marketing,2016-04-06,3.5,Average
312,Charlie,26.0,Male,,HR,2019-09-02,4.6,Excellent
313,Bob,27.0,Female,76964.77,IT,2018-10-29,2.0,Good
314,Alice,25.0,Male,49532.93,IT,2014-01-03,4.8,Poor
315,Bob,38.0,Other,48957.02,IT,2017-04-04,3.6,Poor
316,Bob,7.0,Female,53232.12,IT,2010-08-28,2.8,
317,Charlie,27.0,Female,103830.22,HR,2018-11-29,1.2,Average
318,Bob,42.0,Male,65789.07,Sales,2016-06-15,4.1,Excellent
319,Bob,34.0,Male,37390.93,HR,2016-04-25,4.4,Poor
320,Charlie,40.0,Male,56110.13,Sales,2019-09-02,4.2,Good
321,Bob,13.0,Male,,Sales,2011-03-07,3.9,Poor
322,Bob,20.0,Male,,Marketing,2011-05-15,4.9,
323,Bob,34.0,Female,78098.3,HR,2020-08-05,4.4,Poor
324,Alice,42.0,Other,58816.63,Sales,2015-10-25,4.7,Good
325,Alice,20.0,Male,44438.61,HR,2010-10-24,3.9,Poor
326,Alice,26.0,Female,77965.23,HR,2019-05-27,4.3,Excellent
327,Charlie,33.0,Other,30411.9,Sales,2016-02-09,2.2,Excellent
328,Eva,18.0,Other,45932.61,Sales,2012-12-18,3.7,Poor
329,Bob,34.0,Male,,IT,2019-12-03,1.8,Good
330,Bob,8.0,Female,38142.46,Marketing,2019-12-08,1.3,Good
331,Charlie,33.0,Female,49223.37,Sales,2013-11-30,3.3,Poor
332,Bob,22.0,Female,39480.15,Sales,2011-06-11,4.1,Good
333,Alice,26.0,Female,49424.91,Sales,2014-10-22,1.3,Excellent
334,Eva,35.0,Female,39506.02,Marketing,2014-12-14,1.7,Excellent
335,David,33.0,Other,51185.67,HR,2013-04-25,1.4,Excellent
336,Bob,29.0,Other,,IT,2020-10-22,3.5,
337,Alice,37.0,Other,69908.62,IT,2012-11-14,1.3,Average
338,David,16.0,Female,55782.49,HR,2010-10-26,1.4,Excellent
339,Eva,31.0,Other,61071.95,Marketing,2018-12-08,2.1,Poor
340,David,23.0,Other,52164.65,Marketing,2017-07-01,2.1,
341,Alice,37.0,Male,43483.67,Sales,2011-07-27,3.2,Poor
342,David,35.0,Other,55022.01,Marketing,2020-12-26,1.1,Good
343,Charlie,35.0,Male,53041.89,Marketing,2013-02-28,3.5,Average
344,David,43.0,Female,13678.81,Sales,2014-11-20,2.6,
345,Bob,39.0,Female,50503.3,HR,2011-11-07,1.7,Good
346,Bob,,Female,60079.42,IT,2018-04-27,3.6,Good
347,Charlie,29.0,Female,39258.51,HR,2016-12-26,2.3,Excellent
348,Alice,34.0,Other,63012.81,HR,2018-12-23,4.3,Poor
349,Bob,31.0,,55333.88,Sales,2016-04-04,5.0,Good
350,Eva,35.0,Female,,HR,2016-02-18,4.1,Good
351,Bob,12.0,Female,58128.55,Marketing,2012-11-17,4.0,Good
352,Bob,45.0,Male,44471.12,HR,2018-09-14,2.4,Average
353,Alice,30.0,Male,54151.97,HR,2019-01-08,3.1,
354,David,17.0,Male,46101.18,Sales,2013-11-04,1.2,Excellent
355,Bob,22.0,Male,58235.08,Sales,2011-03-05,3.9,
356,Charlie,12.0,Male,70202.37,IT,2015-11-02,3.7,Good
357,David,21.0,Other,43458.22,Marketing,2011-05-13,2.1,Average
358,Eva,28.0,Male,,Marketing,2016-04-03,3.1,Good
359,Alice,42.0,Other,45515.57,IT,2016-01-06,3.7,Poor
360,Eva,33.0,Male,45633.16,IT,2020-08-02,2.5,
361,David,31.0,Male,44071.03,Sales,2012-04-30,3.9,Excellent
362,David,,Female,24679.9,IT,2017-04-13,4.2,Average
363,David,23.0,Female,57505.34,HR,2017-12-01,1.9,
364,Eva,24.0,Female,54260.7,IT,2012-11-24,2.2,Good
365,David,24.0,Female,52444.26,HR,2012-08-01,2.6,Excellent
366,Eva,27.0,Female,73317.81,IT,2015-11-15,1.9,Average
367,David,,Female,,Sales,2020-10-14,4.1,Good
368,Charlie,27.0,Male,69619.22,Marketing,2019-01-18,3.3,Good
369,David,24.0,Male,46470.07,HR,2016-09-20,2.5,
370,Eva,31.0,Female,45709.21,Marketing,2018-03-27,1.1,Good
371,Bob,27.0,Female,34727.64,HR,2017-01-16,2.3,Good
372,David,17.0,Female,50927.55,Marketing,2014-11-17,4.3,Average
373,Bob,30.0,Male,50123.8,Sales,2012-07-14,4.0,Good
374,Charlie,29.0,Female,58076.67,HR,2011-05-04,1.3,Poor
375,Alice,17.0,Female,33967.3,IT,2011-02-08,4.2,
376,Charlie,25.0,Male,44386.08,Sales,2012-02-13,1.7,Excellent
377,David,34.0,Male,24575.82,Marketing,2013-05-31,4.9,Poor
378,Bob,20.0,Other,39259.42,HR,2011-02-07,4.5,Poor
379,Bob,20.0,Female,63389.52,Sales,2016-11-03,4.7,
380,Eva,27.0,Male,33478.63,Marketing,2020-01-06,4.1,Poor
381,Bob,34.0,Other,76159.67,HR,2014-12-07,3.8,Good
382,Eva,44.0,Male,65133.54,HR,2010-07-03,2.0,
383,Alice,35.0,Other,57518.62,Sales,2016-05-13,3.3,Poor
384,David,38.0,Other,70003.04,Marketing,2012-06-13,3.8,Good
385,Eva,32.0,Female,48184.49,Marketing,2019-12-19,2.2,Excellent
386,Alice,24.0,Female,38937.13,HR,2014-05-12,2.6,
387,Bob,35.0,Other,48560.87,Marketing,2019-06-20,4.8,Good
388,Bob,29.0,Female,24217.32,IT,2014-02-25,2.6,
389,Alice,33.0,Male,,IT,2019-03-21,2.3,Excellent
390,Bob,22.0,Male,44766.67,HR,2010-03-02,1.4,Excellent
391,Alice,33.0,Other,38671.9,Marketing,2014-09-05,2.4,
392,Eva,,Other,40406.83,HR,2012-09-16,3.4,Good
393,Eva,31.0,Male,50248.65,IT,2020-02-11,1.6,Average
394,Alice,29.0,Male,51794.35,HR,2015-05-02,3.4,
395,Eva,27.0,Other,47808.44,HR,2010-05-26,4.0,Average
396,Eva,33.0,Male,47741.76,Sales,2014-03-30,4.1,Good
397,Eva,26.0,,58246.39,Sales,2010-07-02,4.9,Poor
